slug,mid_sep,swap_best,report_hit,ign_sharp,ign_width,ign_share_span,ign_resolved
gemma-2-9b,0.0019,0.8214285714285714,0.7857142857142857,nan,nan,0.0,0.0
gemma-2-2b,0.0065,0.40714285714285714,0.0,nan,nan,0.0,0.0
gpt2-small,0.015,0.8,0.0,0.0,0.6871081790951585,0.9010522337590008,1.0
pythia-70m-deduped,0.0151,0.2288135593220339,0.0,0.2,0.2994117647058824,0.3087798275502519,0.10416666666666667
gemma-3-1b,0.0155,0.014285714285714285,0.07142857142857142,nan,nan,0.0,0.0
gemma-2-27b,0.0429,0.05714285714285714,0.7142857142857143,nan,nan,0.0,0.0
gemma-3-4b,0.0455,0.07142857142857142,0.0,nan,nan,0.0,0.0
qwen3-4b,0.0559,0.8814814814814815,0.0,0.9115384615384615,0.11804066378483405,0.9758242616741531,0.9027777777777778
llama3.1-8b,0.087,0.9851851851851852,0.42857142857142855,0.8530805687203792,0.15340027137042067,0.9738054186158844,0.8791666666666667
qwen3.5-2b-pt,0.1473,0.9779411764705882,0.7857142857142857,0.2654320987654321,0.315034090909091,0.9701921998495511,0.84375
qwen3.5-4b,0.2028,1.0,0.2857142857142857,0.7539267015706806,0.177328431372549,0.9632419114799966,0.7958333333333333
