slug,hf_id,params,d_model,n_layers,mid_sep,within_mid,within_early,within_late
pythia-70m-deduped,EleutherAI/pythia-70m-deduped,7.000e+07,512,5,0.0151,0.9903,0.9868,1.0000
gpt2-small,openai-community/gpt2,1.240e+08,768,11,0.0150,0.9936,0.9917,0.9661
gemma-3-270m,google/gemma-3-270m,2.700e+08,640,17,0.0100,0.9964,0.9827,0.9986
gemma-3-270m-it,google/gemma-3-270m-it,2.700e+08,640,17,0.0018,0.9991,0.9977,0.9990
qwen3.5-0.8b,Qwen/Qwen3.5-0.8B,8.000e+08,1024,23,0.1456,0.9346,0.9479,0.9300
gemma-3-1b,google/gemma-3-1b-pt,1.000e+09,1152,25,0.0155,0.9916,0.9813,0.9977
gemma-3-1b-it,google/gemma-3-1b-it,1.000e+09,1152,25,0.0120,0.9953,0.9854,0.9965
qwen3-1.7b,Qwen/Qwen3-1.7B,1.700e+09,2048,27,0.0758,0.9915,0.9513,0.9124
gemma-2-2b,google/gemma-2-2b,2.000e+09,2304,25,0.0065,0.9981,0.9918,0.9988
gemma-2-2b-it,google/gemma-2-2b-it,2.000e+09,2304,25,0.0014,0.9995,0.9986,0.9991
gemma-4-e2b,google/gemma-4-E2B,2.000e+09,1536,34,0.0468,0.9523,0.8439,0.9906
qwen3.5-2b-pt,Qwen/Qwen3.5-2B-Base,2.000e+09,2048,23,0.1473,0.9467,0.8828,0.9455
gemma-3-4b,google/gemma-3-4b-pt,4.000e+09,2560,33,0.0455,0.9810,0.9624,0.9535
gemma-3-4b-it,google/gemma-3-4b-it,4.000e+09,2560,33,0.0146,0.9953,0.9817,0.9926
gemma-4-e4b,google/gemma-4-E4B,4.000e+09,2560,41,0.0495,0.9469,0.9268,0.9614
qwen3-4b,Qwen/Qwen3-4B,4.000e+09,2560,35,0.0559,0.9932,0.9550,0.9805
qwen3.5-4b,Qwen/Qwen3.5-4B,4.000e+09,2560,31,0.2028,0.9383,0.8213,0.9270
olmo-3-1025-7b,allenai/Olmo-3-1025-7B,7.000e+09,4096,31,0.0761,0.9552,0.9910,0.9550
qwen2.5-7b-it,Qwen/Qwen2.5-7B-Instruct,7.000e+09,3584,27,0.0029,0.9996,0.9992,0.9974
llama3.1-8b-it,meta-llama/Llama-3.1-8B-Instruct,8.000e+09,4096,31,0.0786,0.9722,0.9320,0.9635
qwen3-8b,Qwen/Qwen3-8B,8.000e+09,4096,35,0.1796,0.9357,0.9600,0.9089
gemma-2-9b,google/gemma-2-9b,9.000e+09,3584,41,0.0019,0.9996,0.9966,0.9998
gemma-2-9b-it,google/gemma-2-9b-it,9.000e+09,3584,41,0.0010,0.9999,0.9988,0.9997
qwen3.5-9b-pt,Qwen/Qwen3.5-9B-Base,9.000e+09,4096,31,0.1503,0.9662,0.8930,0.9580
gemma-3-12b,google/gemma-3-12b-pt,1.200e+10,3840,47,0.0007,0.9998,0.9998,0.9997
gemma-3-12b-it,google/gemma-3-12b-it,1.200e+10,3840,47,0.0002,0.9999,0.9999,0.9999
qwen3-14b,Qwen/Qwen3-14B,1.400e+10,5120,39,0.2114,0.9421,0.9347,0.9088
gpt-oss-20b,openai/gpt-oss-20b,2.000e+10,2880,23,0.0756,0.9418,0.9864,0.8531
gemma-2-27b,google/gemma-2-27b,2.700e+10,4608,45,0.0429,0.9966,0.9813,0.9959
gemma-3-27b,google/gemma-3-27b-pt,2.700e+10,5376,61,0.0248,0.9943,0.9851,0.9693
gemma-3-27b-it,google/gemma-3-27b-it,2.700e+10,5376,61,0.0090,0.9975,0.9989,0.9832
qwen3.5-27b,Qwen/Qwen3.5-27B,2.700e+10,5120,63,0.1967,0.9676,0.8664,0.9010
olmo-3-1125-32b,allenai/Olmo-3-1125-32B,3.200e+10,5120,63,0.0939,0.9690,0.9906,0.9625
llama3.1-8b,meta-llama/Llama-3.1-8B,8.000e+09,4096,31,0.0870,0.9641,0.9310,0.9524
